District,Province,Total_Children,Measured,Stunted,Stunting_Rate,Stunted_Moderate,Stunted_Severe,Wasted,Wasting_Rate,Wasted_Moderate,Wasted_Severe,Underweight,Underweight_Rate,Underweight_Moderate,Underweight_Severe
Nyabihu,Western,62,60,30,50.0,21,9,0,0.0,0,0,4,6.666666666666667,3,1
Gicumbi,Northern,89,87,43,49.42528735632184,31,12,0,0.0,0,0,7,8.045977011494253,6,1
Rutsiro,Western,60,57,26,45.614035087719294,22,4,5,8.771929824561402,3,2,15,26.31578947368421,11,4
Gisagara,Southern,71,66,28,42.42424242424242,21,7,2,3.0303030303030303,2,0,9,13.636363636363635,7,2
Karongi,Western,51,51,20,39.21568627450981,19,1,0,0.0,0,0,2,3.9215686274509802,1,1
Musanze,Northern,37,36,14,38.88888888888889,8,6,1,2.7777777777777777,1,0,6,16.216216216216218,5,1
Nyaruguru,Southern,55,54,21,38.88888888888889,12,9,0,0.0,0,0,9,16.666666666666664,5,4
Gakenke,Northern,34,34,13,38.23529411764706,9,4,1,2.941176470588235,1,0,4,11.76470588235294,3,1
Ngororero,Western,69,64,23,35.9375,14,9,2,3.125,2,0,9,13.846153846153847,8,1
Burera,Northern,46,46,16,34.78260869565217,8,8,5,10.869565217391305,4,1,9,19.565217391304348,3,6
Ngoma,Eastern,50,50,17,34.0,13,4,1,2.0,0,1,5,10.0,5,0
Huye,Southern,46,44,14,31.818181818181817,11,3,3,6.8181818181818175,3,0,5,11.363636363636363,3,2
Rubavu,Western,63,62,18,29.03225806451613,11,7,0,0.0,0,0,7,11.11111111111111,7,0
Rulindo,Northern,66,66,19,28.78787878787879,16,3,0,0.0,0,0,3,4.545454545454546,3,0
Bugesera,Eastern,63,63,18,28.57142857142857,14,4,7,11.11111111111111,4,3,9,14.285714285714285,6,3
Kamonyi,Southern,41,39,11,28.205128205128204,7,4,2,5.128205128205128,2,0,4,10.256410256410255,3,1
Gatsibo,Eastern,65,62,17,27.419354838709676,10,7,3,4.838709677419355,2,1,8,12.903225806451612,5,3
Nyanza,Southern,58,57,15,26.31578947368421,11,4,2,3.508771929824561,0,2,8,14.035087719298245,6,2
Rwamagana,Eastern,66,62,16,25.806451612903224,16,0,3,4.838709677419355,3,0,2,3.125,2,0
Nyamagabe,Southern,42,41,10,24.390243902439025,10,0,1,2.4390243902439024,1,0,5,12.195121951219512,5,0
Nyagatare,Eastern,59,55,13,23.636363636363637,11,2,1,1.8181818181818181,0,1,4,7.2727272727272725,3,1
Kayonza,Eastern,51,51,12,23.52941176470588,8,4,2,3.9215686274509802,1,1,3,5.88235294117647,2,1
Kirehe,Eastern,52,51,11,21.568627450980394,10,1,1,1.9607843137254901,1,0,3,5.88235294117647,2,1
Muhanga,Southern,49,49,10,20.408163265306122,7,3,2,4.081632653061225,2,0,3,6.122448979591836,2,1
Ruhango,Southern,53,53,10,18.867924528301888,9,1,0,0.0,0,0,2,3.7735849056603774,2,0
Gasabo,Kigali city,73,71,11,15.492957746478872,6,5,3,4.225352112676056,3,0,4,5.633802816901409,2,2
Rusizi,Western,60,57,8,14.035087719298245,6,2,2,3.508771929824561,0,2,3,5.263157894736842,1,2
Nyarugenge,Kigali city,58,56,7,12.5,7,0,0,0.0,0,0,1,1.7857142857142856,1,0
Nyamasheke,Western,57,56,6,10.714285714285714,4,2,0,0.0,0,0,3,5.357142857142857,3,0
Kicukiro,Kigali city,44,43,2,4.651162790697675,2,0,1,2.3255813953488373,1,0,0,0.0,0,0
